sentiment,id,subject
neutral,226263088280764416,aurora-pd
neutral,226263088280764416,aurora-pd
neutral,226263088280764416,aurora-pd
neutral,226272517222981632,aurora-pd
neutral,226272517222981632,aurora-pd
neutral,226272517222981632,aurora-pd
neutral,226267710546399233,aurora-pd
neutral,226267710546399233,aurora-pd
negative,226267710546399233,aurora-pd
neutral,226261259870412800,aurora-pd
neutral,226261259870412800,aurora-pd
neutral,226261259870412800,aurora-pd
negative,226279202914172929,aurora-pd
negative,226279202914172929,aurora-pd
negative,226279202914172929,aurora-pd
neutral,226285993416880128,aurora-pd
neutral,226285993416880128,aurora-pd
neutral,226285993416880128,aurora-pd
neutral,226283963478585344,aurora-pd
neutral,226283963478585344,aurora-pd
neutral,226283963478585344,aurora-pd
neutral,226283963478585344,aurora-pd
neutral,226282877078360064,aurora-pd
neutral,226282877078360064,aurora-pd
neutral,226282877078360064,aurora-pd
neutral,228250274316308480,aurora-pd
neutral,228250274316308480,aurora-pd
neutral,228250274316308480,aurora-pd
neutral,226263193297752064,aurora-pd
neutral,226263193297752064,aurora-pd
neutral,226263193297752064,aurora-pd
neutral,228250492130693120,aurora-pd
neutral,228250492130693120,aurora-pd
neutral,228250492130693120,aurora-pd
neutral,229685099359240192,aurora-pd
neutral,229685099359240192,aurora-pd
neutral,229685099359240192,aurora-pd
neutral,226258445509218304,aurora-pd
neutral,226258445509218304,aurora-pd
neutral,226258445509218304,aurora-pd
neutral,226263616964407297,aurora-pd
negative,226263616964407297,aurora-pd
negative,226263616964407297,aurora-pd
neutral,228750449237426176,aurora-pd
positive,228750449237426176,aurora-pd
neutral,228750449237426176,aurora-pd
neutral,226286526403850242,aurora-pd
neutral,226286526403850242,aurora-pd
neutral,226286526403850242,aurora-pd
positive,228239394061029376,aurora-pd
positive,228239394061029376,aurora-pd
neutral,228239394061029376,aurora-pd
neutral,226289453721853952,aurora-pd
neutral,226289453721853952,aurora-pd
neutral,226289453721853952,aurora-pd
neutral,226262669198516226,aurora-pd
positive,226262669198516226,aurora-pd
positive,226262669198516226,aurora-pd
negative,226283942620303362,aurora-pd
positive,226283942620303362,aurora-pd
positive,226283942620303362,aurora-pd
neutral,228197278949711872,aurora-pd
neutral,228197278949711872,aurora-pd
neutral,228197278949711872,aurora-pd
neutral,226261545020190720,aurora-pd
neutral,226261545020190720,aurora-pd
neutral,226261545020190720,aurora-pd
neutral,226277583757660160,aurora-pd
neutral,226277583757660160,aurora-pd
neutral,226277583757660160,aurora-pd
neutral,226274551611420672,aurora-pd
neutral,226274551611420672,aurora-pd
neutral,226274551611420672,aurora-pd
neutral,226285531997274112,aurora-pd
neutral,226285531997274112,aurora-pd
neutral,226285531997274112,aurora-pd
neutral,229660046844366848,aurora-pd
neutral,229660046844366848,aurora-pd
neutral,229660046844366848,aurora-pd
neutral,226285825950879744,aurora-pd
neutral,226285825950879744,aurora-pd
neutral,226285825950879744,aurora-pd
neutral,226273586845990912,aurora-pd
neutral,226273586845990912,aurora-pd
neutral,226273586845990912,aurora-pd
positive,228444331999100928,bale
positive,228444331999100928,bale
positive,228444331999100928,bale
positive,228563928496603137,bale
neutral,228563928496603137,bale
neutral,228563928496603137,bale
neutral,228183442209259521,bale
positive,228183442209259521,bale
neutral,228183442209259521,bale
neutral,228557851059171328,bale
neutral,228557851059171328,bale
neutral,228557851059171328,bale
neutral,228175019916795904,bale
neutral,228175019916795904,bale
neutral,228175019916795904,bale
positive,228266556461826048,bale
positive,228266556461826048,bale
positive,228266556461826048,bale
positive,228645612705443841,bale
positive,228645612705443841,bale
positive,228645612705443841,bale
neutral,228213251111018497,bale
neutral,228213251111018497,bale
neutral,228213251111018497,bale
positive,228213251111018497,bale
neutral,228276425743028224,bale
neutral,228276425743028224,bale
neutral,228276425743028224,bale
neutral,229057090575032321,bale
negative,229057090575032321,bale
neutral,229057090575032321,bale
neutral,228663824016879618,bale
neutral,228663824016879618,bale
neutral,228663824016879618,bale
neutral,228407111682510848,bale
neutral,228407111682510848,bale
neutral,228407111682510848,bale
neutral,228187993066848256,bale
neutral,228187993066848256,bale
neutral,228187993066848256,bale
neutral,228364472308342784,bale
neutral,228364472308342784,bale
neutral,228364472308342784,bale
positive,228244070928097282,bale
positive,228244070928097282,bale
positive,228244070928097282,bale
neutral,228288429723643904,bale
neutral,228288429723643904,bale
neutral,228288429723643904,bale
neutral,228677057280897024,bale
neutral,228677057280897024,bale
neutral,228677057280897024,bale
neutral,228258222224592896,bale
neutral,228258222224592896,bale
neutral,228258222224592896,bale
neutral,228185115463925760,bale
neutral,228185115463925760,bale
positive,228185115463925760,bale
positive,228345170364612608,bale
positive,228345170364612608,bale
positive,228345170364612608,bale
neutral,228165133854203904,bale
neutral,228165133854203904,bale
neutral,228165133854203904,bale
negative,228165687611363329,bale
positive,228165687611363329,bale
negative,228165687611363329,bale
positive,228167608640368640,bale
positive,228167608640368640,bale
positive,228167608640368640,bale
positive,228222042242170880,bale
positive,228222042242170880,bale
neutral,228222042242170880,bale
neutral,228222818259705856,bale
neutral,228222818259705856,bale
positive,228222818259705856,bale
positive,228173337904435200,bale
neutral,228173337904435200,bale
neutral,228173337904435200,bale
positive,228228669271834626,bale
neutral,228228669271834626,bale
positive,228228669271834626,bale
positive,228203109237813249,bale
positive,228203109237813249,bale
positive,228203109237813249,bale
positive,228335330472902658,bale
positive,228335330472902658,bale
positive,228335330472902658,bale
positive,228206221281329152,bale
positive,228206221281329152,bale
positive,228206221281329152,bale
neutral,228241407532474368,bale
positive,228241407532474368,bale
neutral,228241407532474368,bale
positive,228221631254892545,bale
positive,228221631254892545,bale
negative,228221631254892545,bale
positive,228178543195074561,bale
positive,228178543195074561,bale
positive,228178543195074561,bale
positive,228164584639434753,bale
positive,228164584639434753,bale
positive,228164584639434753,bale
positive,228393794687623168,bale
positive,228393794687623168,bale
positive,228393794687623168,bale
positive,228472983281348608,bale
positive,228472983281348608,bale
positive,228472983281348608,bale
neutral,228227318647246849,bale
neutral,228227318647246849,bale
positive,228227318647246849,bale
neutral,229010512782950401,bale
neutral,229010512782950401,bale
neutral,229010512782950401,bale
neutral,228505535404703744,bale
neutral,228505535404703744,bale
neutral,228505535404703744,bale
neutral,228683457621016576,bale
neutral,228683457621016576,bale
neutral,228683457621016576,bale
positive,228168069812457472,bale
positive,228168069812457472,bale
positive,228168069812457472,bale
positive,228598070009556992,bale
positive,228598070009556992,bale
neutral,228598070009556992,bale
neutral,228345216522940417,bale
neutral,228345216522940417,bale
neutral,228345216522940417,bale
neutral,229423278337454080,bale
neutral,229423278337454080,bale
neutral,229423278337454080,bale
neutral,228965331752869889,bale
positive,228965331752869889,bale
positive,228965331752869889,bale
positive,228678198110597120,bale
positive,228678198110597120,bale
neutral,228678198110597120,bale
neutral,228251591290015745,bale
neutral,228251591290015745,bale
neutral,228251591290015745,bale
neutral,228251591290015745,bale
neutral,228306029170028544,bale
neutral,228306029170028544,bale
neutral,228306029170028544,bale
positive,228502939247972353,bale
positive,228502939247972353,bale
neutral,228502939247972353,bale
neutral,228320532762861569,bale
negative,228320532762861569,bale
neutral,228320532762861569,bale
neutral,228219949267697664,bale
positive,228219949267697664,bale
positive,228219949267697664,bale
neutral,228277793153224705,bale
neutral,228277793153224705,bale
neutral,228277793153224705,bale
positive,228277793153224705,bale
positive,228346529449132032,bale
positive,228346529449132032,bale
positive,228346529449132032,bale
positive,228371812428431360,bale
neutral,228371812428431360,bale
positive,228371812428431360,bale
neutral,228231466864234496,bale
neutral,228231466864234496,bale
neutral,228231466864234496,bale
neutral,229226766709948416,bale
neutral,229226766709948416,bale
neutral,229226766709948416,bale
positive,228263306010431488,bale
positive,228263306010431488,bale
neutral,228263306010431488,bale
neutral,228268804726202368,bale
positive,228268804726202368,bale
negative,228268804726202368,bale
neutral,228193223162597376,bale
neutral,228193223162597376,bale
neutral,228193223162597376,bale
positive,228278493455204352,bale
positive,228278493455204352,bale
positive,228278493455204352,bale
positive,229459198235258880,bale
neutral,229459198235258880,bale
neutral,229459198235258880,bale
positive,229055115187875841,bale
positive,229055115187875841,bale
neutral,229055115187875841,bale
positive,228194166998458368,bale
positive,228194166998458368,bale
neutral,228194166998458368,bale
positive,228215616643940352,bale
positive,228215616643940352,bale
positive,228215616643940352,bale
neutral,228584883163914241,bale
neutral,228584883163914241,bale
neutral,228584883163914241,bale
positive,228251125575471105,bale
positive,228251125575471105,bale
positive,228251125575471105,bale
positive,228523369438535680,bale
positive,228523369438535680,bale
positive,228523369438535680,bale
neutral,228379039423934465,bale
neutral,228379039423934465,bale
neutral,228379039423934465,bale
neutral,228580630278070272,bale
positive,228580630278070272,bale
neutral,228580630278070272,bale
neutral,228224659584331777,bale
neutral,228224659584331777,bale
neutral,228224659584331777,bale
neutral,228394306598207488,bale
positive,228394306598207488,bale
neutral,228394306598207488,bale
neutral,229452856640544770,bale
neutral,229452856640544770,bale
neutral,229452856640544770,bale
negative,228851682765856768,bale
positive,228851682765856768,bale
positive,228851682765856768,bale
neutral,229595861435437056,bale
neutral,229595861435437056,bale
neutral,229595861435437056,bale
positive,228687199166672896,bale
positive,228687199166672896,bale
positive,228687199166672896,bale
positive,228687199166672896,bale
positive,228230582088384512,bale
positive,228230582088384512,bale
positive,228230582088384512,bale
positive,228479916604284928,bale
neutral,228479916604284928,bale
neutral,228479916604284928,bale
positive,228209312567267328,bale
neutral,228209312567267328,bale
neutral,228209312567267328,bale
neutral,228501534017716224,bale
neutral,228501534017716224,bale
neutral,228501534017716224,bale
neutral,228265415661457409,bale
neutral,228265415661457409,bale
neutral,228265415661457409,bale
neutral,228284327732056064,bale
neutral,228284327732056064,bale
neutral,228284327732056064,bale
positive,228240627383558145,bale
neutral,228240627383558145,bale
positive,228240627383558145,bale
positive,228240627383558145,bale
positive,228171995978797057,bale
positive,228171995978797057,bale
negative,228171995978797057,bale
positive,228198629746307073,bale
positive,228198629746307073,bale
positive,228198629746307073,bale
positive,228200626134319104,bale
positive,228200626134319104,bale
positive,228200626134319104,bale
neutral,228191558246223873,bale
neutral,228191558246223873,bale
positive,228191558246223873,bale
neutral,228302879088324608,bale
neutral,228302879088324608,bale
neutral,228302879088324608,bale
positive,228216854143975424,bale
positive,228216854143975424,bale
positive,228216854143975424,bale
neutral,228191847355396097,bale
neutral,228191847355396097,bale
neutral,228191847355396097,bale
neutral,228287595212320770,bale
neutral,228287595212320770,bale
positive,228287595212320770,bale
neutral,228331018766147585,bale
positive,228331018766147585,bale
positive,228331018766147585,bale
positive,228230703475720192,bale
neutral,228230703475720192,bale
neutral,228230703475720192,bale
positive,228578398732173312,bale
neutral,228578398732173312,bale
positive,228578398732173312,bale
positive,228216983802507265,bale
positive,228216983802507265,bale
positive,228216983802507265,bale
positive,228208742171291649,bale
neutral,228208742171291649,bale
neutral,228208742171291649,bale
positive,228964765660229632,bale
positive,228964765660229632,bale
positive,228964765660229632,bale
positive,228212944851312640,bale
positive,228212944851312640,bale
positive,228212944851312640,bale
positive,229367477337985024,bale
negative,229367477337985024,bale
positive,229367477337985024,bale
neutral,228212240166293505,bale
neutral,228212240166293505,bale
positive,228212240166293505,bale
positive,228346994987507712,bale
positive,228346994987507712,bale
positive,228346994987507712,bale
positive,228192686270726145,bale
positive,228192686270726145,bale
positive,228192686270726145,bale
positive,228230636358492160,bale
neutral,228230636358492160,bale
positive,228230636358492160,bale
positive,228265516337360896,bale
positive,228265516337360896,bale
positive,228265516337360896,bale
neutral,228857433047580674,bale
neutral,228857433047580674,bale
neutral,228857433047580674,bale
neutral,228259606349094912,bale
neutral,228259606349094912,bale
neutral,228259606349094912,bale
neutral,228189045677756416,bale
neutral,228189045677756416,bale
neutral,228189045677756416,bale
positive,228219836231192576,bale
positive,228219836231192576,bale
positive,228219836231192576,bale
positive,228219836231192576,bale
positive,228178287418036224,bale
positive,228178287418036224,bale
positive,228178287418036224,bale
neutral,228178018718330881,bale
positive,228178018718330881,bale
positive,228178018718330881,bale
neutral,228205789553250304,bale
neutral,228205789553250304,bale
neutral,228205789553250304,bale
neutral,228350933476716545,bale
neutral,228350933476716545,bale
neutral,228350933476716545,bale
neutral,228173166147670016,bale
neutral,228173166147670016,bale
neutral,228173166147670016,bale
neutral,228165201252462593,bale
neutral,228165201252462593,bale
neutral,228165201252462593,bale
neutral,229434091123113984,bale
positive,229434091123113984,bale
neutral,229434091123113984,bale
neutral,229223520410931201,bale
neutral,229223520410931201,bale
neutral,229223520410931201,bale
neutral,228170741877714946,bale
positive,228170741877714946,bale
positive,228170741877714946,bale
positive,228170741877714946,bale
neutral,228343173724921856,bale
positive,228343173724921856,bale
neutral,228343173724921856,bale
positive,228527870069317632,bale
positive,228527870069317632,bale
positive,228527870069317632,bale
positive,228227985776451584,bale
positive,228227985776451584,bale
positive,228227985776451584,bale
positive,228183291126243328,bale
positive,228183291126243328,bale
positive,228183291126243328,bale
neutral,228938622311739393,bale
neutral,228938622311739393,bale
neutral,228938622311739393,bale
neutral,228619293066141696,bale
neutral,228619293066141696,bale
neutral,228619293066141696,bale
positive,228270163538112513,bale
positive,228270163538112513,bale
positive,228270163538112513,bale
positive,228258075704979459,bale
neutral,228258075704979459,bale
positive,228258075704979459,bale
neutral,229684160019701760,bale
neutral,229684160019701760,bale
neutral,229684160019701760,bale
positive,228372605172867072,bale
positive,228372605172867072,bale
neutral,228372605172867072,bale
positive,228187305108721664,bale
neutral,228187305108721664,bale
positive,228187305108721664,bale
neutral,228222319280128000,bale
neutral,228222319280128000,bale
negative,228222319280128000,bale
neutral,228211283999215617,bale
neutral,228211283999215617,bale
neutral,228211283999215617,bale
neutral,228187653265297408,bale
neutral,228187653265297408,bale
neutral,228187653265297408,bale
neutral,228187653265297408,bale
positive,228307941567127552,bale
positive,228307941567127552,bale
positive,228307941567127552,bale
neutral,228196318764474368,bale
neutral,228196318764474368,bale
neutral,228196318764474368,bale
positive,228209048430981120,bale
neutral,228209048430981120,bale
positive,228209048430981120,bale
neutral,228339021510762496,bale
neutral,228339021510762496,bale
neutral,228339021510762496,bale
neutral,228480331831984129,bale
positive,228480331831984129,bale
neutral,228480331831984129,bale
neutral,228616227222876164,bale
neutral,228616227222876164,bale
positive,228616227222876164,bale
positive,228291831178346497,bale
positive,228291831178346497,bale
positive,228291831178346497,bale
positive,228282264247758848,bale
negative,228282264247758848,bale
negative,228282264247758848,bale
positive,228192648672968706,bale
positive,228192648672968706,bale
positive,228192648672968706,bale
positive,229372825176256512,bale
neutral,229372825176256512,bale
positive,229372825176256512,bale
neutral,228370839383453697,bale
neutral,228370839383453697,bale
neutral,228370839383453697,bale
neutral,228439856517357568,bale
neutral,228439856517357568,bale
neutral,228439856517357568,bale
positive,228694765644963842,bale
positive,228694765644963842,bale
positive,228694765644963842,bale
neutral,228225552895590400,bale
neutral,228225552895590400,bale
neutral,228225552895590400,bale
neutral,228226316346982400,bale
neutral,228226316346982400,bale
neutral,228226316346982400,bale
positive,228347816936873985,bale
positive,228347816936873985,bale
positive,228347816936873985,bale
positive,228352292359897089,bale
positive,228352292359897089,bale
positive,228352292359897089,bale
neutral,228184905778089984,bale
positive,228184905778089984,bale
neutral,228184905778089984,bale
neutral,228578633613197312,bale
neutral,228578633613197312,bale
neutral,228578633613197312,bale
neutral,228482961757069312,bale
neutral,228482961757069312,bale
neutral,228482961757069312,bale
neutral,228291613212942336,bale
neutral,228291613212942336,bale
neutral,228291613212942336,bale
neutral,228418897827741696,bale
neutral,228418897827741696,bale
neutral,228418897827741696,bale
positive,228173195658792960,bale
positive,228173195658792960,bale
positive,228173195658792960,bale
neutral,228273653199036416,bale
positive,228273653199036416,bale
neutral,228273653199036416,bale
neutral,228243970327719936,bale
neutral,228243970327719936,bale
neutral,228243970327719936,bale
positive,228264635508334593,bale
positive,228264635508334593,bale
positive,228264635508334593,bale
neutral,228166295936442369,bale
neutral,228166295936442369,bale
neutral,228166295936442369,bale
negative,228187443503964160,bale
neutral,228187443503964160,bale
positive,228187443503964160,bale
positive,228251318626693121,bale
positive,228251318626693121,bale
positive,228251318626693121,bale
neutral,228188039170637824,bale
neutral,228188039170637824,bale
neutral,228188039170637824,bale
positive,228169651060867072,bale
neutral,228169651060867072,bale
positive,228169651060867072,bale
neutral,228215872530046976,bale
neutral,228215872530046976,bale
neutral,228215872530046976,bale
neutral,228281031021694976,bale
neutral,228281031021694976,bale
neutral,228281031021694976,bale
positive,228164492083748866,bale
positive,228164492083748866,bale
positive,228164492083748866,bale
positive,229322388741967872,bale
neutral,229322388741967872,bale
neutral,229322388741967872,bale
positive,228202203217817601,bale
positive,228202203217817601,bale
positive,228202203217817601,bale
neutral,228203318818779137,bale
positive,228203318818779137,bale
neutral,228203318818779137,bale
positive,228273770773741568,bale
positive,228273770773741568,bale
positive,228273770773741568,bale
neutral,228426313336229888,bale
neutral,228426313336229888,bale
neutral,228426313336229888,bale
positive,228308998632402945,bale
positive,228308998632402945,bale
neutral,228308998632402945,bale
positive,228409070648979456,bale
positive,228409070648979456,bale
positive,228409070648979456,bale
positive,228204287853985792,bale
positive,228204287853985792,bale
positive,228204287853985792,bale
positive,228175238200979458,bale
positive,228175238200979458,bale
